resource_path	relationship	source_id	title	author_compiler	edition	publisher	publication_place	year	language	page_range	source_location	source_sha256	rights_status	ocr_engine	ocr_date	transcription_status	reviewer	review_date	unresolved_count	resource_bytes	resource_sha256	notes
resources/erey-bixin/00-sources.md	project_metadata	SRC-SLS-INTERNAL	Somali Language Standard project metadata	SLS maintainers	not_applicable	Somali Language Standard	not_applicable	2026	English;Somali	not_applicable	repository	git_object	project_license	not_applicable	not_applicable	derived	unassigned	not_applicable	not_applicable	2732	873daf3d52b38e2db3a1f34ad6a3623ca2400bd5983a644d87c8ca42434df1bb	Project-authored collection metadata; not source-book text
resources/erey-bixin/01-bayoolaji.md	direct_transcription	SRC-EB-001	Qaamuuska eray-bixinta ee Bayoolaji	unknown	unknown	Xarunta Horumarinta Manaahijta; Wasaaradda Waxbarashada iyo Barbaarinta	unknown	1987	English;Somali	unknown	not_available_in_workspace	unavailable	unresolved	unknown	unknown	blocked	unassigned	not_applicable	unknown	34745	64eaf2f50be95004866ee2404b8f86a14b180b81449b75fb1198c2f57cd35cf5	Exact source scan absent; page mapping and source verification blocked by M-100 and M-101
resources/erey-bixin/02-fisikis.md	direct_transcription	SRC-EB-002	Qaamuuska eray-bixinta ee Fisikis	unknown	unknown	Xarunta Horumarinta Manaahijta; Wasaaradda Waxbarashada iyo Barbaarinta	unknown	1987	English;Somali	unknown	not_available_in_workspace	unavailable	unresolved	unknown	unknown	blocked	unassigned	not_applicable	unknown	42952	1115c4825c7a260c01cf74fdb928e628e92f61b52b5fcce0f753c7cb13675b91	Exact source scan absent; page mapping and source verification blocked by M-100 and M-101
resources/erey-bixin/03-juqraafi.md	direct_transcription	SRC-EB-003	Qaamuuska eray-bixinta ee Juqraafi	unknown	unknown	Xarunta Horumarinta Manaahijta; Wasaaradda Waxbarashada iyo Barbaarinta	unknown	1987	English;Somali	unknown	not_available_in_workspace	unavailable	unresolved	unknown	unknown	blocked	unassigned	not_applicable	unknown	26519	28c469f89bc29f9bf31f497566f142695d4d5efe5ede4c61c1fd1266f4ea51fa	Exact source scan absent; page mapping and source verification blocked by M-100 and M-101
resources/erey-bixin/04-kimistari.md	direct_transcription	SRC-EB-004	Qaamuuska eray-bixinta ee Kimistari	unknown	unknown	Xarunta Horumarinta Manaahijta; Wasaaradda Waxbarashada iyo Barbaarinta	unknown	1987	English;Somali	unknown	not_available_in_workspace	unavailable	unresolved	unknown	unknown	blocked	unassigned	not_applicable	unknown	53502	4f995e4cd4f82701645c284c0f50e9e7641a976d26ca18690431c6ef0415f8e2	Exact source scan absent; page mapping and source verification blocked by M-100 and M-101
resources/erey-bixin/05-xisaab.md	direct_transcription	SRC-EB-005	Qaamuuska eray-bixinta ee Xisaab	unknown	unknown	Xarunta Horumarinta Manaahijta; Wasaaradda Waxbarashada iyo Barbaarinta	unknown	1987	English;Somali	unknown	not_available_in_workspace	unavailable	unresolved	unknown	unknown	blocked	unassigned	not_applicable	unknown	46278	a566a4ac5af240737ea9a89941fd072f697368b86c4cf715ba1851de16fd1c11	Exact source scan absent; page mapping and source verification blocked by M-100 and M-101
resources/erey-bixin/05-xisaab.md	integrated_extract	SRC-EB-006	Diiwaanka Eraybixinta Af-Soomaaliga - Ururinta 2aad	Cabdalla Cumar Mansuur	unknown	Akademiye-Goboleedka Af-Soomaaliga; Centro Studi Somali, Università Roma Tre	unknown	2014	Somali;English	unknown	not_available_in_workspace	unavailable	unresolved	unknown	unknown	blocked	unassigned	not_applicable	unknown	46278	a566a4ac5af240737ea9a89941fd072f697368b86c4cf715ba1851de16fd1c11	Exact source scan absent; page mapping and source verification blocked by M-100 and M-101
resources/erey-bixin/06-wasaaradaha.md	direct_transcription	SRC-EB-007	Eraybixinta Af Soomaaliga ee Hawlaha Wasaaradaha	unknown	unknown	unknown	unknown	1972	Somali;English;Italian	unknown	not_available_in_workspace	unavailable	unresolved	unknown	unknown	blocked	unassigned	not_applicable	unknown	147940	c96a84206244d4d998acc50956d0b3d57c99bf34eb22ab59b2488bee60302b1c	Exact source scan absent; page mapping and source verification blocked by M-100 and M-101
resources/erey-bixin/07-barbaarinta-jirka.md	direct_transcription	SRC-EB-008	Barbaarinta Jirka - Qaamuuska Ereybixinta	unknown	unknown	unknown	unknown	1984	Somali;English	unknown	not_available_in_workspace	unavailable	unresolved	unknown	unknown	blocked	unassigned	not_applicable	unknown	21227	fa26ae3845a32676cdfc92e795906ed267d4172f54c36108e09813f2cbe4149c	Exact source scan absent; page mapping and source verification blocked by M-100 and M-101
resources/erey-bixin/08-magacyada-dhirta.md	direct_transcription	SRC-EB-009	Magacyada dhirta Soomaaliyeed	unknown	unknown	unknown	unknown	1985	Scientific names;English;Somali	unknown	not_available_in_workspace	unavailable	unresolved	unknown	unknown	blocked	unassigned	not_applicable	unknown	8891	1068795e0f63d4209df42ca1c9a55bd2f08daaaa2f93da2b5288c686ed05f014	Exact source scan absent; page mapping and source verification blocked by M-100 and M-101
