source_id	source_role	title	author_compiler	edition	publisher	publication_place	year	language	source_location	source_sha256	rights_status	metadata_status	ocr_engine	ocr_date	issue_ids	notes
SRC-SLS-INTERNAL	internal_project	Somali Language Standard project metadata	SLS maintainers	not_applicable	Somali Language Standard	not_applicable	2026	English;Somali	repository	git_object	project_license	internal	not_applicable	not_applicable	not_applicable	READMEs and source inventories; not a book source
SRC-QAA-001	direct	Qaamuuska Af-Soomaaliga	unknown	unknown	unknown	unknown	unknown	Somali;Italian;English	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-001;M-003;M-015;M-100;M-101;M-102;M-103;M-104	Existing qaamuus source note; exact edition not verified
S-003	direct	Barashada Naxwaha Af Soomaaliga	Abdalla Omar Mansur; Annarita Puglielli	unknown	unknown	unknown	1998	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-116	Existing stable source ID retained; claimed HAAN copy not found in workspace
SRC-NAX-013	direct	Aasaaska Naxwaha Af Soomaaliga	Guddiga Af Soomaaliga	unknown	unknown	unknown	1973	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104	Existing naxwe source note; title-page check pending
SRC-NAX-014	direct	Naxwaha Cusub ee Af Soomaaliga	unknown	unknown	unknown	unknown	unknown	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-110	Author; year; edition unknown
SRC-NAX-015	direct	Naxwaha Sifayneed ee Af Soomaaliga	unknown	unknown	unknown	unknown	unknown	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-110	Author; year; edition unknown
SRC-NAX-016	direct	WEEraynta Soomaaliga (Xilliyada 5aad)	unknown	unknown	unknown	unknown	unknown	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-110	Author; year; edition unknown
SRC-NAX-017	direct	Naxwaha Af Soomaaliga	Jaalle Shire Jaamac Axmed	unknown	unknown	unknown	unknown	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-110	Year and edition unknown
SRC-ORT-001	direct	Habka Qoraalka	Maxamed Xaaji Xuseen Raabi	unknown	Kulliyadda Waxbarashada ee Lafoole (Jaamacadda Ummadda Soomaaliyeed)	unknown	1977	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-117	Prior manual-verification claim lacks reproducible review record
SRC-ORT-002	direct	Beginner's Somali Grammar §2.3 (Capital letters)	Morgan Nilsson	August preliminary	unknown	unknown	2024	English	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-114	Interim supplementary source
SRC-PHO-001	direct	Codaynta Af Soomaaliga	Maxamed Xaaji Xuseen Raabi	unknown	Kulliyadda Waxbarashada ee Lafoole (Jaamacadda Ummadda Soomaaliyeed)	unknown	1977	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-117	Prior manual-verification claim lacks reproducible review record
SRC-PHO-002	direct	Phonation in Somali phonology	Martin Orwin	unknown	unknown	unknown	c. 1990s	English	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-114	Somali-first resource summary; exact publication details unknown
SRC-EB-001	direct	Qaamuuska eray-bixinta ee Bayoolaji	unknown	unknown	Xarunta Horumarinta Manaahijta; Wasaaradda Waxbarashada iyo Barbaarinta	unknown	1987	English;Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-113	Existing erey-bixin source note
SRC-EB-002	direct	Qaamuuska eray-bixinta ee Fisikis	unknown	unknown	Xarunta Horumarinta Manaahijta; Wasaaradda Waxbarashada iyo Barbaarinta	unknown	1987	English;Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-113	Existing erey-bixin source note
SRC-EB-003	direct	Qaamuuska eray-bixinta ee Juqraafi	unknown	unknown	Xarunta Horumarinta Manaahijta; Wasaaradda Waxbarashada iyo Barbaarinta	unknown	1987	English;Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-113	Existing erey-bixin source note
SRC-EB-004	direct	Qaamuuska eray-bixinta ee Kimistari	unknown	unknown	Xarunta Horumarinta Manaahijta; Wasaaradda Waxbarashada iyo Barbaarinta	unknown	1987	English;Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-113	Existing erey-bixin source note
SRC-EB-005	direct	Qaamuuska eray-bixinta ee Xisaab	unknown	unknown	Xarunta Horumarinta Manaahijta; Wasaaradda Waxbarashada iyo Barbaarinta	unknown	1987	English;Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-113	Primary source for most of erey-bixin/05
SRC-EB-006	direct	Diiwaanka Eraybixinta Af-Soomaaliga - Ururinta 2aad	Cabdalla Cumar Mansuur	unknown	Akademiye-Goboleedka Af-Soomaaliga; Centro Studi Somali, Università Roma Tre	unknown	2014	Somali;English	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-113	Distinct science terms and symbol table folded into erey-bixin/05
SRC-EB-007	direct	Eraybixinta Af Soomaaliga ee Hawlaha Wasaaradaha	unknown	unknown	unknown	unknown	1972	Somali;English;Italian	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-113	Existing erey-bixin source note
SRC-EB-008	direct	Barbaarinta Jirka - Qaamuuska Ereybixinta	unknown	unknown	unknown	unknown	1984	Somali;English	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-113	Existing erey-bixin source note
SRC-EB-009	direct	Magacyada dhirta Soomaaliyeed	unknown	unknown	unknown	unknown	1985	Scientific names;English;Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-113	English scientific to Somali vernacular list
SRC-EB-010	direct	Diiwaanka Eraybixinta Af-Soomaaliga - Ururinta 3aad (farsamada iyo culuunta)	unknown	unknown	unknown	unknown	2014	Somali;English;Italian	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-113;M-115	Current transcription is explicitly partial
SRC-SUU-001	direct	Qaamuuska Maahmaahyada Soomaalyeed	Georgi Kapchits	unknown	unknown	unknown	1998	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104	Existing suugaan source note
SRC-SUU-002	direct	Qaamuuska Murtida	Maxamed Xuseen Hadi	unknown	unknown	unknown	1996	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104	Existing suugaan source note
SRC-SUU-003	direct	Xikmad Soomaali	Muuse Xaaji Ismaaciil Galaal	unknown	unknown	unknown	1956	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104	Existing suugaan source note
SRC-SUU-004	direct	Sheekooyin Soomaaliyeed	Muuse Cumar Islaam	unknown	unknown	unknown	1973	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104	Existing suugaan source note
SRC-SUU-005	direct	Sheekooyin laysku soo ururshay	Maxamuud Maxamed Cilmi	unknown	unknown	unknown	1978	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104	Existing suugaan source note
SRC-SUU-006	direct	Sheekooyin fogaan iyo dhowaan ba leh	Maxamed Faarax Cabdillaahi	unknown	unknown	unknown	unknown	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-111	Year and edition unknown
SRC-SUU-007	direct	Hal Ka Haleel	Maxamed Baashe X. Xasan	unknown	unknown	unknown	2004	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104	Existing suugaan source note
SRC-SUU-008	direct	Qiso kalgacal	M.A. Gurhan	unknown	unknown	unknown	1983	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104	Existing suugaan source note
SRC-SUU-009	direct	Rooxaan	Jaalle Shire J. Axmed	unknown	unknown	unknown	1973	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104	Existing suugaan source note
SRC-SUU-010	direct	Dhaartii dhabta ahayd	Maxamed Nuur Xasan (Shareeco)	unknown	unknown	unknown	unknown	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-111	Year and edition unknown
SRC-SUU-011	direct	Hubsiimo la'aan	Maxamed Guuleed Aadan (Seyga)	unknown	unknown	unknown	1968	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104	Existing suugaan source note
SRC-SUU-012	direct	Bisaddii Bubaysta	Xasan Aw Daahir Qaalib (translator)	unknown	unknown	unknown	unknown	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-111	Year and source edition unknown
SRC-SUU-013	direct	Xeebtii Dahabka iyo Waayihii Saxardiid	Xasan Aw Daahir Qaalib	unknown	unknown	unknown	1977	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104	Existing suugaan source note
SRC-SUU-014	direct	Hal-Karaan	Maxamed Ibraahim Warsame (Hadraawi)	unknown	unknown	unknown	unknown	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-111	Year and edition unknown
SRC-SUU-015	direct	Suugaan - Dugsiga Sare, Fasalka Koowaad	unknown	unknown	unknown	unknown	1976	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-112	Compiler; institution; publisher incomplete
SRC-SUU-016	direct	Suugaan - Fasalka Koowaad	unknown	unknown	unknown	unknown	1983	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-112	Compiler; institution; publisher incomplete
SRC-SUU-017	direct	Suugaanta - Fasalka Afraad	unknown	unknown	unknown	unknown	unknown	Somali	not_available_in_workspace	unavailable	unresolved	unverified	unknown	unknown	M-100;M-101;M-102;M-103;M-104;M-111;M-112	Year; compiler; institution; publisher incomplete
