soomaali	ingiriisi	talyaani
aan suntanayn	unmarked	non marcato
aan tirsanayn	uncountable	non numerabile
af	language	lingua
af goraal	written language	lingua scritta
af guud	standard language	lingua standard
af haasaawe	colloquial language	linguaggio colloquiale
af tiraaheed	spoken language	lingua parlata
afguri	dialect	dialetto
afmaldah	figurative language	linguaggio figurativo
alan	syllable	sillaba
alifba'	alphabet	alfabeto
amaah	borrowing	prestito
amar	imperative	imperativo
amar diidmo	negative imperative	imperativo negativo
ammin	tense	tempo
amminaysan	temporal	temporale
amminno lammaanan	compound tenses	tempi composti
astaamayn	punctuation	punteggiatura
astaan	sign	segno
astaan kooban	acronym	sigla
baab	chapter	capitolo
baradigme	paradigm	paradigma
baradigme fidsan	extended paradigm	paradigma esteso
baradigme kooban	reduced paradigm	paradigma ridotto
caadaley	habitual	abituale
caadyaal	concrete	concreto
cayn	gender	genere
cayn dheddigeed	feminine gender	genere femminile
cayn labood	masculine gender	genere maschile
cayn naxweed	grammatical gender	genere grammaticale
cillanaad	abstract	astratto
cilmi-afeed	linguistics	linguistica
cod	sound	suono
codayn	phonetics	fonetica
codkac	high tone	accento tonale
curiye	element	elemento
cutub	item	unità
dahsoon	unexpressed	sottinteso
dhadhan micne	semantic value	valore semantico
dhalanrag	transformation	trasformazione
dharamaad	ending	desinenza
dhammaystire	complementizer	complementatore
dhambaal	message	messaggio
dhawaaq	pronunciation	pronuncia
dheddig	feminine	femminile
dhegeyste	hearer	ascoltatore
dhexkabe	infix	infisso
dhigaal	transcription	trascrizione
dhismo	structure	struttura
dhismo dahsoon	deep structure	struttura profonda
dhismo muuqda	surface structure	struttura superficiale
dib u soo celinta magacuyaalka	resumptive pronouns	ripresa pronominale
dibkabe	suffix	suffisso
dibkabe magaceed	nominal suffix	suffisso nominale
diidmo	negation	negazione
diirad	focus	focus
diiradayn	focalization	focalizzazione
diiradeeye	focalizer / focus marker	focalizzatore
dir	class	classe
dir naxweed	grammatical category	categoria grammaticale
dirayn	classify	classificare
duluc hadal	communicative aim	scopo comunicativo
durkin	displacement	spostamento
erey	word	parola
erey abuurid	word formation	formazione delle parole
ereybixin	terminology	terminologia
ereyfur	glossary	glossario
erey-dareen	exclamation	esclamazione
ereyo	lexicon	lessico
ereyo lammaanan	compound words	parole composte
far	orthography	ortografia
faahfaahiye	modifier	modificatore
fal	verb	verbo
fal aasaasi	main verb	verbo principale
fal diiradayn	verbal focalization	focalizzazione verbale
fal gudbe	transitive verb	verbo transitivo
fal magudbe	intransitive verb	verbo intransitivo
fal sifo	stative verb	verbo stativo
fale	subject	soggetto
falal lammaanan	compound verb	verbo composto
falanqayn	analysis	analisi
falid	action	azione
falkaab	adverb	avverbio
falkaab jiho	directional/deictic adverb	avverbio direzionale
falkaaliye	auxiliary verb	verbo ausiliare
faqrad	paragraph	paragrafo
farac	derivation	derivazione
fidin	expansion	espansione
fikrad	hypothesis	ipotesi
foniim	phoneme	fonema
fure (keed)	code	codice
furid	decodification	decodificazione
gudbe	transitive	transitivo
haasaawe	dialogue	dialogo
hab	mood	modo
hab amar	imperative mood	modo imperativo
hab dhimman	dependent mood	modo dipendente
hab ebyoon	independent mood	modo indipendente
hab shardiley	conditional mood	modo condizionale
hab talo	optative mood	modo ottativo
habdhac	process	processo
habdhiska kayska	case system	sistema dei casi
hadal	discourse	discorso
hadle	speaker	parlante
hakad	comma	virgola
hal alanle	monosyllabic	monosillabico
halqabsi	interjection	interiezione
hawraar	proposition	proposizione
hogatuus	illustration	illustrazione
horkabe	prefix	prefisso
horyaalayaal fudud	simple preposition	preposizione semplice
horyaalayaal iskudhafan	complex preposition	preposizione complessa
horyaale	preposition	preposizione
ikhtiyaar	optional	facoltativo
isasaamayn	assimilation	assimilazione
isburin	contradiction	contraddizione
isku-ururid	contraction	contrazione
iskuxidhe	connective	connettiva
iskuxigga ereyada	word order	ordine delle parole
iskuxireyaal	function words	parole funzionali
isrogrog	conjugation	coniugazione
isudaran	contrast	contrasto
iswaafaqsanaan	concord	concordanza
jinsi	sex	sesso
joogto	present	presente
joogto caadaley	habitual present	presente abituale
joogto socota	progressive present	presente progressivo
kaaliye	auxiliary	ausiliare
kays	case	caso
kays lahaansho	genitive case	caso genitivo
kays yeelaale	nominative case	caso nominativo
kays yeermo	vocative case	caso vocativo
keli	singular	singolare
khabar	predicate	predicato
khabar faleed	verb predicate	predicato verbale
khabar magaceed	nominal predicate	predicato nominale
kolmo	quotation mark	virgolette
koox faleed	verbal complex	complesso verbale
ku dhashay	innate	innato
lab	masculine	maschile
laba alanle	bi-syllabic	bisillabico
lafdi	significant	significante
laga hadle	referent	referente
lahaansho	possessive	possessivo
lala hadle	interlocutor	interlocutore
lammaane	compound	composto
lammaanin	word composition	composizione di parole
layeele	object	oggetto
layeele dadban	indirect object	oggetto indiretto
layeele toosan	direct object	oggetto diretto
lid (caqsi)	opposite	contrario
lifaaq	affix	affisso
lifaaq falasho	self-benefactive affix	affisso autobenefattivo
lifaaq yeelsiin	double causative	affisso "doppio causativo"
luqad	language	lingua
luuq (cilmi-afeed)	intonation	intonazione
luuq (suugaan)	rhythm	melodia
ma (doorsoome)	invariable	invariabile
macne	meaning	significato
madax	head	testa
magac	noun	nome
magac caadyaal	concrete noun	nome concreto
magac cillanaad	abstract noun	nome astratto
magac diiradayn	nominal focalization	focalizzazione nominale
magac fale	agent noun	nome d'agente
magac faleed	verbal noun	nome verbale
magac gaar	proper noun	nome proprio
magac guud	common noun	nome comune
magac madaxeed	nominal head	testa nominale
magac saleed	root noun	nome radicale
magac urur	collective noun	nome collettivo
magacuyaal	pronoun	pronome
magacuyaal celis	reflexive pronoun	pronome riflessivo
magacuyaal ebyoon	independent pronoun	pronome indipendente
magacuyaal isdhaafsi	reciprocal pronoun	pronome reciproco
magacuyaal lahaansho	possessive pronoun	pronome possessivo
magacuyaal mideeya	inclusive pronoun	pronome inclusivo
magacuyaal qoflaawe	impersonal pronoun	pronome impersonale
magacuyaal soocan	exclusive pronoun	pronome esclusivo
magacuyaal tilmaame	demonstrative pronoun	pronome dimostrativo
magacuyaal weyddiimeed	interrogative pronoun	pronome interrogativo
masdar	infinitive	infinito
mawduuc	topic	argomento
morfiin	morpheme	morfema
muuqaal	aspect	aspetto
nadooc	inflection	flessione
nadooc-magaceed	declination	declinazione
naflaawe	inanimate	inanimato
naxwe	grammar	grammatica
naxweysan	grammatical	grammaticale
nuxur	content	contenuto
oraah faleed	verbal phrase	sintagma verbale
oraah magaceed	nominal phrase	sintagma nominale
qaanso	parenthesis / brackets	parentesi
qaybaha hadalka	parts of speech	parti del discorso
qeex	define	definire
qeexan	defined	definito
qeexid	definition	definizione
qodob	article	articolo
qof	person	persona
qurub	particle	particella
qurub diidmo	negative particle	particella di negazione
qurub diiradeed	focus marker	indicatore di focus
qurub jiho	directional particle	particella direzionale
qurub weyddiimeed	interrogative particle	particella interrogativa
sal	root	radice
sal ballaaran	base	base
sammi	synonym	sinonimo
sarfe	morphology	morfologia
sarfe-weereyn	morpho-syntax	morfosintassi
shaqal	vowel	vocale
shaqal culus	backward vowel	vocale arretrata
shaqal fudud	forward vowel	vocale avanzata
shardiley	conditional	condizionale
shax geed	tree diagram	albero
shibbane	consonant	consonante
sifayn	description	descrizione
sifo	adjective	aggettivo
summad	marker	marca
summad yeele	subject marker	marca del soggetto
suntane	marked	marcato
tagto	past	passato
tagto caadaley	habitual past	passato abituale
tagto fudud	simple past	passato semplice
tagto socota	past progressive	passato progressivo
tarjumad	translation	traduzione
taxanaan	sequence	sequenza
tebiye	speaker	emittente
tifaftirane	determined	determinato
tifaftire	determiner	determinante
tilmaame	demonstrative	dimostrativo
timaaddo	future	futuro
tiraab	oral	orale
tiraale	cardinal numbers	numeri cardinali
tiraale jago	ordinal numbers	numeri ordinali
tiro	number	numero
tirsame	countable	numerabile
toon	tone	tono
wadar	plural	plurale
weer	sentence	frase
weer aasaasi	main sentence	frase principale
weer adag (ballaaran)	complex sentence	frase complessa
weer amar	imperative sentence	frase imperativa
weer caddayn	declarative sentence	frase dichiarativa
weer dhammaystir	complement sentence	frase completiva
weer dhimman	dependent sentence	frase dipendente
weer diidmo	negative sentence	frase negativa
weer ebyoon	independent sentence	frase indipendente
weer faahfaahineed	relative sentence	frase relativa
weer faahfaahineed oo dheeraad ah	appositive relative sentence	frase relativa appositiva
weer faahfaahineed oo kooban	restrictive relative sentence	frase relativa restrittiva
weer fudud	simple sentence	frase semplice
weer jaban	ungrammatical sentence	frase agrammaticale
weer qiraal	affirmative sentence	frase affermativa
weer qumman	grammatical sentence	frase grammaticale
weer talo	optative sentence	frase ottativa
weer tebineed	declarative sentence	frase dichiarativa
weer weyddiimeed	interrogative sentence	frase interrogativa
weereyn	syntax	sintassi
xadaf	shortening / elision	elisione
xaraf	letter	lettera
xeer	rule	regola
xeerre	regular	regolare
xiriir	relation	relazione
xiriiriye	conjunction	congiunzione
xubin	constituent	costituente
yeele	subject	soggetto
yeele dahsoon	passive	passivo
